rf,std_rf,cp,std_cp,n_quartets,std_quartets,r_d,r_l,coal_unit,model
0,0,0.971926159,0.000253196,934.0131074,2.02743005,1,1.5,1,DLCoal
1.535292941,0.023073239,0.881813368,0.000282924,929.9193861,2.071074105,1,1.5,18,DLCoal
0.24635073,0.009814304,0.932308602,0.000260257,938.9767646,2.073875514,1,1.5,9,DLCoal
0,0,0.972946086,0.000231031,1156.634763,2.047807975,1,1,1,DLCoal
1.321335733,0.021363831,0.883608941,0.00025978,1161.596461,2.009832406,1,1,18,DLCoal
0.197160568,0.008748067,0.933943113,0.000241745,1159.820736,2.006160112,1,1,9,DLCoal
0,0,0.970931937,0.000276114,751.4726055,1.970021843,1,2,1,DLCoal
1.910817836,0.025286382,0.880563114,0.000302781,750.7753749,1.936417583,1,2,18,DLCoal
0.366326735,0.011906604,0.930973595,0.000289882,754.5784143,1.936502792,1,2,9,DLCoal
0,0,0.949428059,0.000290822,1316.830174,1.937645497,2,0.4,1,DLCoal
1.459708058,0.022175367,0.865761498,0.000281976,1308.725115,1.940906318,2,0.4,18,DLCoal
0.26194761,0.010127854,0.913087298,0.000285573,1314.888952,1.913218141,2,0.4,9,DLCoal
0,0,0.948213359,0.000307592,1209.925575,1.974141013,2,0.5,1,DLCoal
1.530093981,0.022748304,0.865149255,0.000292017,1213.017447,2.017966364,2,0.5,18,DLCoal
0.287142571,0.01072397,0.912221519,0.000293846,1206.746321,2.034437181,2,0.5,9,DLCoal
0,0,0.946978183,0.000320031,1031.319056,2.033151024,2,0.7,1,DLCoal
1.768846231,0.024730328,0.863850878,0.000313124,1033.656669,2.071139719,2,0.7,18,DLCoal
0.384323135,0.01212039,0.910159409,0.000312439,1037.856299,2.0918692,2,0.7,9,DLCoal
0.00039992,0.00039992,0.946212936,0.000347291,882.7837932,2.046178328,2,0.9,1,DLCoal
1.978404319,0.026444032,0.863164423,0.000330277,881.3694961,2.047535244,2,0.9,18,DLCoal
0.451909618,0.013196687,0.909168103,0.000335103,878.8757049,2.051649357,2,0.9,9,DLCoal
0.00319936,0.001130353,0.944293794,0.000364851,758.4956009,1.95658814,2,1.1,1,DLCoal
2.221955609,0.027783283,0.861955522,0.00035288,757.5342132,1.985232939,2,1.1,18,DLCoal
0.586282743,0.015439983,0.90758385,0.00036003,760.6737053,1.99769137,2,1.1,9,DLCoal
0.01119776,0.002256967,0.943770536,0.000389719,648.3475405,1.917616035,2,1.3,1,DLCoal
2.524695061,0.029433905,0.860441665,0.000374747,649.4589182,1.888797739,2,1.3,18,DLCoal
0.704259148,0.016745384,0.905368763,0.000381054,648.4438912,1.873169506,2,1.3,9,DLCoal
0.00119976,0.000692543,0.944831564,0.000356689,815.8987003,2.013348524,2,1,1,DLCoal
2.108378324,0.026813179,0.862793555,0.000340788,817.04981,2.009326347,2,1,18,DLCoal
0.50589882,0.013918488,0.908011098,0.000347586,815.8893421,1.999865466,2,1,9,DLCoal
0.025994801,0.003490328,0.941134888,0.00041596,561.220156,1.775924311,2,1.5,1,DLCoal
2.863027395,0.032213032,0.859020804,0.000400093,563.4314737,1.769768325,2,1.5,18,DLCoal
0.823435313,0.01806152,0.904973786,0.000396055,563.2806339,1.763408651,2,1.5,9,DLCoal
0.137572486,0.009279913,0.938551877,0.000471028,390.6775745,1.490091091,2,2,1,DLCoal
3.777644471,0.037349038,0.85697044,0.000445706,388.5032094,1.466791781,2,2,18,DLCoal
1.378124375,0.024653542,0.900263521,0.000458085,391.1081384,1.48664723,2,2,9,DLCoal
0.00119976,0.000692543,0.925923915,0.000347367,1166.309158,2.082741355,3,0.4,1,DLCoal
1.871225755,0.02516021,0.848202275,0.000321579,1170.329774,2.046669639,3,0.4,18,DLCoal
0.49510098,0.013863865,0.891275642,0.000331318,1169.903209,2.082114349,3,0.4,9,DLCoal
0.00359928,0.00132554,0.924882054,0.000367491,1050.489132,2.122731367,3,0.5,1,DLCoal
2.044791042,0.026413995,0.847338159,0.000333517,1051.019186,2.099658526,3,0.5,18,DLCoal
0.538692262,0.014620115,0.890122494,0.000351826,1043.257548,2.086064401,3,0.5,9,DLCoal
0.0119976,0.002325967,0.922214526,0.000403961,846.2030094,2.075102843,3,0.7,1,DLCoal
2.432313537,0.02935645,0.846054493,0.000363204,845.2832134,2.047454232,3,0.7,18,DLCoal
0.703459308,0.016742555,0.887907629,0.000374138,846.5272545,2.046814735,3,0.7,9,DLCoal
0.024395121,0.003583069,0.920186082,0.000439592,682.1172665,1.964580213,3,0.9,1,DLCoal
2.917016597,0.031749974,0.841894741,0.000395108,686.3461308,1.935181221,3,0.9,18,DLCoal
0.890621876,0.018918119,0.885638571,0.000420724,677.7572186,1.957224694,3,0.9,9,DLCoal
0.080783843,0.007108054,0.917732559,0.00046104,559.7325535,1.816139598,3,1.1,1,DLCoal
3.429714057,0.034709953,0.840857912,0.000435977,556.4467806,1.815223848,3,1.1,18,DLCoal
