rf,std_rf,cp,std_cp,n_quartets,std_quartets,r_d,r_l,coal_unit,model
0,0,0.999479184,1.87E-05,1088.939722,2.290165219,2,0.7,1,DLCoal
0.887422515,0.017933222,0.901400442,0.000204869,1064.427235,2.223748432,2,0.7,18,DLCoal
0.078784243,0.00558857,0.95513247,0.000131968,1086.304999,2.317884416,2,0.7,9,DLCoal
0,0,0.99915865,2.68E-05,922.6863727,2.171964137,2,0.9,1,DLCoal
1.066986603,0.01947374,0.901527871,0.000210764,897.0780044,2.161136476,2,0.9,18,DLCoal
0.111977604,0.006648523,0.95489304,0.000140567,910.5695561,2.183945104,2,0.9,9,DLCoal
0,0,0.99865239,3.72E-05,786.0259348,2.092783327,2,1.1,1,DLCoal
1.24295141,0.021120212,0.900707502,0.000219741,767.554969,2.006030967,2,1.1,18,DLCoal
0.163567287,0.00797467,0.954130885,0.000152665,776.5140672,2.070643542,2,1.1,9,DLCoal
0,0,0.998126327,4.93E-05,666.095111,1.960752455,2,1.3,1,DLCoal
1.49730054,0.023461851,0.900036533,0.000238656,652.2664167,1.902540604,2,1.3,18,DLCoal
0.219556089,0.009231471,0.952940649,0.000159982,660.9293941,1.939428511,2,1.3,9,DLCoal
0,0,0.998898112,3.30E-05,850.6971606,2.174350248,2,1,1,DLCoal
1.167366527,0.020948241,0.901086951,0.000215817,829.0602779,2.134975462,2,1,18,DLCoal
0.136772645,0.007446262,0.954111045,0.000144081,843.5364627,2.165351722,2,1,9,DLCoal
0.00119976,0.00119976,0.997320403,6.28E-05,570.4436013,1.808026017,2,1.5,1,DLCoal
1.75524895,0.02584963,0.899550974,0.000249399,561.9471406,1.827535004,2,1.5,18,DLCoal
0.288342332,0.010828895,0.952270176,0.000172783,563.0421616,1.800582207,2,1.5,9,DLCoal
0.00879824,0.002035605,0.9952893,9.50E-05,387.7636173,1.487537789,2,2,1,DLCoal
2.576284743,0.030195754,0.89673679,0.00029245,379.8369126,1.476047201,2,2,18,DLCoal
0.585482903,0.015268976,0.948887718,0.00020196,386.9022296,1.509957995,2,2,9,DLCoal
0,0,0.999533632,1.58E-05,1291.325185,2.501074315,3,0.4,1,DLCoal
0.620275945,0.015428174,0.902081842,0.00018819,1246.691422,2.371105706,3,0.4,18,DLCoal
0.036792641,0.003842688,0.954924577,0.000127454,1270.022625,2.437033933,3,0.4,9,DLCoal
0,0,0.999288214,2.22E-05,1149.532104,2.479088016,3,0.5,1,DLCoal
0.717856429,0.016338373,0.901772313,0.00019708,1100.480904,2.340795553,3,0.5,18,DLCoal
0.051189762,0.004537808,0.954424599,0.000131915,1122.0995,2.38577632,3,0.5,9,DLCoal
0,0,0.998498187,3.81E-05,899.89979,2.305582501,3,0.7,1,DLCoal
0.99620076,0.019668242,0.901643098,0.000218177,867.0563487,2.195689697,3,0.7,18,DLCoal
0.100379924,0.006252724,0.953172533,0.000144645,883.6815537,2.245863996,3,0.7,9,DLCoal
0,0,0.997397346,5.66E-05,710.5174465,2.106682146,3,0.9,1,DLCoal
1.299740052,0.021781935,0.900166515,0.000231415,689.5091482,2.03778533,3,0.9,18,DLCoal
0.165966807,0.008260524,0.952700843,0.000160161,699.1337233,2.08339537,3,0.9,9,DLCoal
0,0,0.996112628,7.59E-05,574.3355529,1.875008888,3,1.1,1,DLCoal
1.655668866,0.024838661,0.8987562,0.000249239,553.7110678,1.820383561,3,1.1,18,DLCoal
0.25874825,0.010207172,0.95061763,0.000173892,563.8546391,1.859028349,3,1.1,9,DLCoal
0.00519896,0.001547293,0.994617552,9.71E-05,463.7223055,1.699200464,3,1.3,1,DLCoal
2.151569686,0.028214273,0.89720946,0.000272701,446.5268546,1.645036262,3,1.3,18,DLCoal
